,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1176,14758,6,0.02,0.6
1177,14758,7,-1.3,-1.3
1178,14760,6,-1.1,-0.3
1179,14760,7,-2.5,-2.5
1180,14761,6,-1.56,-0.5
1181,14761,7,-2.8,-2.8
1182,14762,6,-0.58,0.2
1183,14763,6,-0.98,0.1
1184,14763,7,-1.7,-1.7
1185,14764,5,0.4,0.4
1186,14764,6,-0.3,-0.3
1187,14766,5,-1.63333333333,-0.7
1188,14767,5,-0.466666666667,0.5
1189,14768,5,-2.05,-1.9
1190,14776,7,-1.9,-1.9
1191,14787,6,-1.9,-1.9
1192,14794,5,-3.08571428571,-2.3
1193,14806,7,-1.9,-1.9
1194,14811,7,-4.5,-4.5
1195,14812,7,0.3,0.3
1196,14813,7,-1.2,-1.2
1197,14815,5,3.2,3.2
1198,14815,6,2.3,2.3
1199,14818,5,-0.85,-0.3
1200,14818,6,-0.9,-0.9
1201,14819,5,1.1,1.9
1202,14819,6,0.6,0.6
1203,14827,5,-1.2,-0.5
1204,14828,5,-0.983333333333,0.1
1205,14828,6,-3.4,-2.0
1206,14830,5,-0.1,0.6
1207,14830,6,-0.6,-0.6
1208,14831,5,0.0,0.7
1209,14831,6,0.7,0.7
1210,14832,5,0.45,1.8
1211,14832,6,-0.2,-0.2
1212,14835,6,1.68,2.6
1213,14835,7,1.3,1.3
1214,14838,5,-1.4,-1.0
1215,14840,7,-1.7,-1.7
1216,14845,7,-3.8,-3.8
1217,14855,5,-0.333333333333,0.1
1218,14855,6,-1.7,-1.7
1219,14857,5,-1.66,-1.2
1220,14857,6,-1.8,-1.8
1221,14858,5,-2.0,-1.1
1222,14858,6,-2.9,-2.9
1223,14859,5,2.525,3.4
1224,14859,6,0.5,0.5
1225,14870,5,-2.36666666667,-2.0
1226,14872,5,-0.283333333333,0.8
1227,14872,6,-1.3,-1.3
1228,14874,5,-3.6,-3.1
1229,14874,6,-4.55,-4.4
1230,14876,5,-0.366666666667,0.5
1231,14880,5,-1.04,-0.2
1232,14880,6,-1.2,-1.2
1233,14881,5,-0.85,-0.3
1234,14881,6,-0.5,-0.5
1235,14882,5,0.283333333333,0.9
1236,14882,6,-1.0,-0.8
1237,14893,7,-2.3,-2.3
1238,14902,5,0.4,0.4
1239,14902,6,0.4,0.4
1240,14903,5,-0.733333333333,0.6
1241,14910,5,3.2,3.2
1242,14910,6,2.0,2.0
1243,14911,5,2.0,2.0
1244,14911,6,-1.2,-1.2
1245,14912,5,-0.4,-0.4
1246,14912,6,-1.1,-1.1
1247,14915,5,1.0,1.0
1248,14915,6,0.4,0.4
1249,14916,6,-1.35,-0.4
1250,14916,7,-3.6,-3.6
1251,14918,6,-1.52,0.1
1252,14918,7,-1.7,-1.7
1253,14919,6,-2.66,-2.2
1254,14919,7,-3.0,-3.0
1255,14920,5,0.32,1.2
1256,14920,6,-0.4,-0.4
1257,14923,7,-3.6,-3.6
1258,14940,6,-0.42,0.2
1259,14940,7,-1.4,-1.4
1260,14942,5,-1.45,-1.1
1261,14943,5,-1.5,-0.8
1262,14945,5,-0.925,-0.2
1263,14945,6,-0.8,-0.8
1264,14946,5,-0.45,-0.1
1265,14946,6,-0.9,-0.9
1266,14949,5,0.733333333333,1.4
1267,14949,6,-1.3,-0.5
1268,14950,5,-2.55,-2.3
1269,14951,5,-1.3,0.2
1270,14951,6,-0.7,-0.7
1271,14952,5,-2.0,-1.6
1272,14953,5,1.2,1.2
1273,14953,6,0.1,0.1
1274,14954,5,1.6,2.1
1275,14954,6,3.2,3.2
1276,14955,5,0.9,1.9
1277,14955,6,1.9,1.9
1278,14959,5,-2.6,-2.4
1279,14959,6,-2.9,-2.9
1280,14960,5,-0.375,0.1
1281,14960,6,-0.8,-0.8
1282,14961,5,-2.8,-2.5
1283,14961,6,-4.0,-4.0
1284,14962,5,-0.88,0.7
1285,14962,6,-0.6,-0.6
1286,14963,5,-3.0,-2.5
1287,14963,6,-2.9,-2.9
1288,14964,5,-0.225,0.4
1289,14964,6,0.1,0.1
1290,14965,5,-1.0,0.6
1291,14965,6,-2.5,-2.5
1292,14978,6,-1.36666666667,-0.3
1293,14981,6,-0.4,-0.1
1294,14981,7,-0.6,-0.6
1295,14982,6,-0.2,0.6
1296,14982,7,-1.6,-1.6
1297,14983,6,-2.46,-1.3
1298,14983,7,-3.0,-3.0
1299,14984,6,-3.8,-3.6
1300,14984,7,-4.5,-4.5
1301,14985,6,-0.76,0.2
1302,14985,7,-1.6,-1.6
1303,14986,7,-2.275,-1.8
