,year,student_id,absence_rate,total
319,2016,6945,0.192307692308,26
320,2016,13982,0.0,29
321,2015,6666,0.00584795321637,171
322,2016,11738,0.142857142857,28
323,2014,6363,0.010989010989,182
324,2014,11954,0.0344827586207,174
325,2012,3303,0.0,29
326,2015,6982,0.00591715976331,169
327,2013,6740,0.0176470588235,170
328,2016,11904,0.0,29
329,2012,3093,0.75,4
330,2014,12547,0.0869565217391,46
331,2016,13652,0.0,29
332,2013,3089,0.114285714286,175
333,2013,4567,0.00571428571429,175
334,2014,6808,0.0116279069767,172
335,2014,12585,0.0224719101124,178
336,2014,6731,0.113636363636,132
337,2016,16383,0.0,27
338,2016,12916,0.0,14
339,2016,13354,0.0666666666667,30
340,2012,7146,0.75,4
341,2015,3478,0.0228571428571,175
342,2016,6779,0.0,27
343,2016,12847,0.0344827586207,29
344,2016,14479,0.0,27
345,2015,13449,0.00602409638554,166
346,2016,16387,0.0344827586207,29
347,2016,15108,0.0,29
348,2013,6511,0.021978021978,182
349,2016,16646,0.0869565217391,23
350,2016,14638,0.0,29
351,2015,6481,0.0119047619048,168
352,2014,13367,0.0,174
353,2015,13771,0.00606060606061,165
354,2015,15208,0.046357615894,151
355,2015,14827,0.101694915254,177
356,2015,14244,0.0440251572327,159
357,2016,13712,0.0344827586207,29
358,2012,6835,1.0,2
359,2016,6343,0.0,28
360,2014,13457,0.0606060606061,165
361,2012,6878,0.210526315789,19
362,2014,13256,0.0337078651685,178
363,2015,6441,0.0176470588235,170
364,2016,13660,0.0,29
365,2013,11467,0.0647058823529,170
366,2016,14192,0.0,29
367,2014,6378,0.00540540540541,185
368,2016,15821,0.0,29
369,2012,6854,0.769230769231,26
370,2016,14735,0.0,30
371,2012,6805,1.0,5
372,2015,14749,0.04,175
373,2016,12568,0.0,28
374,2016,12702,0.0,29
375,2015,13832,0.0919540229885,174
376,2012,3951,0.0,3
377,2013,3195,0.0285714285714,175
378,2016,16320,0.178571428571,28
379,2016,13622,0.0,27
380,2013,11752,0.0166666666667,180
381,2014,3386,0.0506329113924,79
382,2015,14698,0.0457142857143,175
