ID,ISDELETED,NAME,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,LASTACTIVITYDATE,LASTVIEWEDDATE,LASTREFERENCEDDATE,STUDENT__C,SCHOOL__C,ACTUAL_END_DATE__C,STARTINGGRADE__C,ENDINGGRADE__C,LIVING_ON_CAMPUS__C,DATE_LAST_VERIFIED__C,HIGHEST_SAT_SCORE__C,SOURCE__C,NOTES__C,PURSUING_DEGREE_TYPE__C,START_DATE__C,STATUS__C,TRANSFER_REASON__C,TYPE__C,MAJOR_AREA__C,STUDENT_HS_COHORT__C,NUMBER_OF_MARKING_PERIODS__C,ANTICIPATED_GRADUATION__C,FINAL_GPA__C,GRAD_YEAR__C,MAJOR__C,COLLEGE_MAJOR_DECLARED__C,OTHER_MAJOR__C,NSC_VERIFIED__C,DUAL_ENROLLMENT__C,CLASS_RANK_PERCENTILE__C
a0880000008yfwkAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-02-28T20:11:20.000Z,005C0000003CMzbIAG,2013-02-28T20:11:20.000Z,,,,00380000010UhnKAAS,0018000000kxhm2AAA,8/20/2012,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000PVC3mIAH,FALSE,,2013-10-28T21:41:13.000Z,005C0000003sZiUIAU,2014-07-16T20:11:30.000Z,005C0000006wSJzIAM,2014-07-16T20:11:30.000Z,,,,00380000010UhnJAAS,0018000000kxhm2AAA,6/30/2014,,,FALSE,7/16/2014,0,Salesforce,,High School Diploma,8/5/2013,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwjAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-02-28T20:07:48.000Z,005C0000003sZiUIAU,2013-02-28T20:07:48.000Z,,,,00380000010UhnJAAS,0018000000kxhm2AAA,6/29/2012,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000N1jFgIAJ,FALSE,,2013-06-21T19:42:07.000Z,005C0000003sZiUIAU,2014-08-07T22:43:42.000Z,005C0000006wSJzIAM,2014-08-07T22:43:42.000Z,,,,00380000010UhnGAAS,0018000000kxhm2AAA,6/30/2014,,,FALSE,8/7/2014,0,Salesforce,,High School Diploma,10/23/2012,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwgAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2013-06-21T19:39:33.000Z,005C0000003sZiUIAU,2013-06-21T19:39:33.000Z,,,,00380000010UhnGAAS,0018000000kxhm2AAA,9/28/2012,9,,FALSE,,0,,Student was 18 and was attempting to complete a GED at GCC,High School Diploma,9/1/2010,Transferred out,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwaAAA,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-06T18:12:45.000Z,005C0000003teDhIAI,2014-08-06T18:12:45.000Z,,,,00380000010UhnAAAS,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/6/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwZAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-09-08T23:20:32.000Z,005C0000003teDhIAI,2014-09-08T23:20:32.000Z,,,,00380000010Uhn9AAC,0018000000kxhm2AAA,6/30/2014,9,,FALSE,,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a08C000000RTAsHIAX,FALSE,,2014-01-17T23:18:51.000Z,005C0000003sZiUIAU,2014-08-06T18:10:07.000Z,005C0000003teDhIAI,2014-08-06T18:10:07.000Z,,,,00380000010Uhn8AAC,0018000000kxhm2AAA,6/30/2014,,,FALSE,8/6/2014,0,Salesforce,,High School Diploma,8/10/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwTAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-08-13T23:42:54.000Z,005C0000004gIFSIA2,2014-08-13T23:42:54.000Z,,,,00380000010Uhn3AAC,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/13/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
a0880000008yfwSAAQ,FALSE,,2010-09-14T20:30:42.000Z,00580000003U34WAAS,2014-09-03T22:59:00.000Z,005C0000004gIFSIA2,2014-09-03T22:59:00.000Z,,,,00380000010Uhn2AAC,0018000000kxhm2AAA,6/30/2014,9,,FALSE,8/28/2014,0,Salesforce,,High School Diploma,9/1/2010,Graduated,,High School,,2014,2,,,,,FALSE,,FALSE,FALSE,
