student_id,present_2012,present_2013,present_2014,present_2015,present_2016,excusedabsent_2012,excusedabsent_2013,excusedabsent_2014,excusedabsent_2015,excusedabsent_2016,excusedtardy_2012,excusedtardy_2013,excusedtardy_2014,excusedtardy_2015,excusedtardy_2016,absent_2012,absent_2013,absent_2014,absent_2015,absent_2016,tardy_2012,tardy_2013,tardy_2014,tardy_2015,tardy_2016,truant_2012,truant_2013,truant_2014,truant_2015,truant_2016,inschoolsuspension_2012,inschoolsuspension_2013,inschoolsuspension_2014,inschoolsuspension_2015,inschoolsuspension_2016,suspended_2012,suspended_2013,suspended_2014,suspended_2015,suspended_2016
10345,NA,173,166,169,29,NA,0,0,0,0,NA,0,0,0,0,NA,3,4,1,1,NA,4,0,2,0,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0
10347,NA,176,154,137,26,NA,0,0,0,0,NA,0,0,0,0,NA,2,9,5,0,NA,1,16,17,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10348,NA,174,166,168,28,NA,0,0,0,0,NA,0,0,0,0,NA,4,4,0,0,NA,0,5,0,2,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10349,NA,156,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10357,NA,164,169,140,28,NA,0,0,0,0,NA,0,0,0,0,NA,3,3,6,0,NA,8,3,30,1,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10360,NA,4,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10361,NA,37,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,13,NA,NA,NA,NA,14,NA,NA,NA,NA,16,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10362,NA,17,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,13,NA,NA,NA,NA,19,NA,NA,NA,NA,32,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
10363,NA,173,173,166,25,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,2,2,9,4,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10367,NA,159,130,154,25,NA,0,0,0,0,NA,0,0,2,0,NA,11,5,5,1,NA,8,42,4,1,NA,0,5,0,0,NA,0,0,0,0,NA,0,0,0,0
10370,NA,157,179,157,28,NA,0,0,0,0,NA,0,0,0,0,NA,2,3,4,0,NA,18,2,9,1,NA,2,0,2,0,NA,0,0,0,0,NA,0,0,0,0
10371,NA,174,175,174,29,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10374,NA,NA,178,169,28,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,0,NA,NA,0,1,1,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0
10375,NA,172,168,162,28,NA,0,0,0,0,NA,0,0,0,0,NA,5,7,8,1,NA,1,0,0,0,NA,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0
10376,NA,178,172,173,26,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,1,2,2,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10383,NA,177,179,165,26,NA,0,0,0,0,NA,0,0,0,0,NA,2,1,2,2,NA,4,2,8,0,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0
10385,NA,174,169,161,23,NA,0,0,0,0,NA,0,0,0,0,NA,3,9,6,1,NA,0,4,5,5,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10390,NA,NA,NA,163,29,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,7,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0
10394,NA,NA,110,116,9,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,8,9,2,NA,NA,52,36,15,NA,NA,8,15,3,NA,NA,0,0,0,NA,NA,0,0,0
10396,NA,183,184,176,29,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0
10400,NA,14,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
